CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Renaissance Kuala Lumpur Hotel & Convention Centre|FS|0011I00000cJSKkQAO|KULRN|a1W1I000000aUWfUAM|M|Renaissance Hotels & Resorts|INTL|APEC||0011I00000cJTs7QAG||Open||
Element Jonesboro|MSB|0011I00000cJScgQAG||a1W1I000000aUXRUA2|F|Element Hotels|NALO|East|0011I00000cJVciQAG|0011I00000cJVciQAG||Cancelled||
Courtyard by Marriott Monterrey Airport|MSB|0011I00000cJU2VQAW|MTYCY|a1W1I000000aUXSUA2|F|Courtyard By Marriott|INTL|CALA|0011I00000cJSalQAG|0011I00000cJSalQAG||Open||
Protea Hotel by Marriott Dar es Salaam Courtyard|MSB|0011I00000cJVCsQAO|DARCO|a1W1I000000aUXTUA2|F|Protea Hotels|INTL|AFIO|0011I00000cJVAzQAO|0011I00000cJVAzQAO||Open||
Marriott Belstead Brook|FS||IPWSH|a1W1I000000aUYUUA2|F|Marriott Hotels & Resorts|INTL|Europe||||Deflagged||
Marriott Hilltop Hotel|FS||CAXSH|a1W1I000000aUYVUA2|F|Marriott Hotels & Resorts|INTL|Europe||||Deflagged||
Marriott Old Harlow|FS||LONSH|a1W1I000000aUYWUA2|F|Marriott Hotels & Resorts|INTL|Europe||||Deflagged||
Marriott Chollerford|FS||NCLSC|a1W1I000000aUYXUA2|F|Marriott Hotels & Resorts|INTL|Europe||||Deflagged||
Fairfield Inn Springfield, (MO)|MSB||SGFFI|a1W1I000000aUZrUAM|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Marriott Palisades Conference Ctr|FS||NYCPA|a1W1I000000aUZsUAM|M|Marriott Conference Centers|NALO|East||||Deflagged||
Residence Inn Baton Rouge|MSB||BTRBR|a1W1I000000aUZtUAM|F|Residence Inn By Marriott|NALO|East||||Deflagged||
The Ritz-Carlton Residences, Rose Island|Luxury|0011I00000cJSGpQAO|.|a1W1I000000aUZuUAM|M|The Ritz-Carlton|INTL|CALA||0011I00000cJSGpQAO||Pre-Opening||
JW Marriott Hotel Surabaya|Luxury|0011I00000cJSKkQAO|SUBJW|a1W1I000000aUaoUAE|M|JW Marriott Hotels and Resorts|INTL|APEC||0011I00000cJSduQAG||Open||
Putrajaya Marriott Hotel|FS|0011I00000cJSM0QAO|KULPG|a1W1I000000aUapUAE|F|Marriott Hotels & Resorts|INTL|APEC|0011I00000cJUMWQA4|0011I00000cJSM0QAO||Open||
Beijing Marriott Hotel West|FS||BJSMC|a1W1I000000aUaqUAE|M|Marriott Hotels & Resorts|INTL|Greater China||||Deflagged||
JW Marriott Hotel Beijing|Luxury|0011I00000cJSKkQAO|BJSJW|a1W1I000000aUbkUAE|M|JW Marriott Hotels and Resorts|INTL|Greater China||0011I00000cJVXZQA4||Open||
Ramada Amsterdam Beethoven|Other||AMSBE|a1W1I000000aUblUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Amsterdam Museum Square|Other||AMSCL|a1W1I000000aUbmUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Amsterdam City Centre|Other||AMSCT|a1W1I000000aUbnUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Amsterdam Hotel & Suites|Other||AMSHO|a1W1I000000aUboUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Sanya Marriott Yalong Bay Resort & Spa|FS|0011I00000cJSKkQAO|SYXMC|a1W1I000000aUcfUAE|M|Marriott Hotels & Resorts|INTL|Greater China||0011I00000cJShUQAW||Open||
JW Marriott Resort and Spa at Momi Bay, Fiji|Luxury|0011I00000cJSKkQAO|NANMB|a1W1I000000aUcgUAE|M|JW Marriott Hotels and Resorts|INTL|APEC||0011I00000cJULrQAO||Cancelled||
JW Marriott Hotel Chennai|FS|0011I00000cJSKkQAO||a1W1I000000aUchUAE|M|Renaissance Hotels & Resorts|INTL|APEC||0011I00000cJSMrQAO||Cancelled||
Marriott Managua|FS||MGAMC|a1W1I000000aUciUAE|M|Marriott Hotels & Resorts|INTL|CALA||0011I00000cJSfJQAW||Pre-Opening||
MES Dallas|Other||-|a1W1I000000aUdlUAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
MES San Antonio|Other||-|a1W1I000000aUdmUAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
MES Austin|Other||-|a1W1I000000aUdnUAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
MES Des Moines|Other||-|a1W1I000000aUdoUAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
Renaissance Sedona Resort|FS|0011I00000cJSjtQAG||a1W1I000000aUemUAE|F|Renaissance Hotels & Resorts|NALO|West|0011I00000cJSjtQAG|0011I00000cJSjtQAG||Cancelled||
Courtyard by Marriott Lucerne|MSB|0011I00000cJULUQA4|ZRHLC|a1W1I000000aUenUAE|F|Courtyard By Marriott|INTL|Europe||0011I00000cJULUQA4||Cancelled||
CY PA Reading Spring Township USA|MSB|0011I00000cJU58QAG||a1W1I000000aUeoUAE|F|Courtyard By Marriott|NALO|East||0011I00000cJU58QAG||Cancelled||
FI MA Springfield West Springfield USA|MSB|0011I00000cJSNkQAO||a1W1I000000aUepUAE|F|Fairfield Inn By Marriott|NALO|East||0011I00000cJSNkQAO||Cancelled||
CY GA Atlanta East/I-20 & Panola Road USA|MSB|0011I00000cJSNTQA4||a1W1I000000aUeqUAE|F|Courtyard By Marriott|NALO|East||0011I00000cJSNTQA4||Cancelled||
FI GA Atlanta East/I-20 & Panola Road USA|MSB|||a1W1I000000aUerUAE|F|Fairfield Inn By Marriott|NALO|East||0011I00000cJSNTQA4||Cancelled||
Guatemala City Marriott Hotel|FS||GUADT|a1W1I000000aUUSUA2|F|Marriott Hotels & Resorts|INTL|CALA||||Deflagged||
JW Marriott Hotel Mexico City|Luxury|0011I00000cJSKkQAO|MEXJW|a1W1I000000aUUTUA2|M|JW Marriott Hotels and Resorts|INTL|CALA||0011I00000cJU01QAG||Open||
JW Marriott Mumbai Juhu|Luxury|0011I00000cJSKkQAO|BOMJW|a1W1I000000aUUUUA2|M|JW Marriott Hotels and Resorts|INTL|APEC||0011I00000cJVpaQAG||Open||
Liverpool Marriott Hotel South|FS||LPLMS|a1W1I000000aUUzUAM|M|Marriott Hotels & Resorts|INTL|Europe||||Deflagged||
Mountain Shadows Marriott Resort & Golf Club|FS||PHXMS|a1W1I000000aUV0UAM|M|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Marriott's Mountain Valley Lodge at Breckenridge|Other|0011I00000cJSLcQAO|QKBVI|a1W1I000000aUV1UAM|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Renaissance Chemnitz Hotel|FS||DRSCH|a1W1I000000aUVoUAM|M|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Renaissance Nazareth|FS||HFABR|a1W1I000000aUVpUAM|F|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Renaissance Wien Hotel|FS|0011I00000cJUUPQA4|VIEHW|a1W1I000000aUVqUAM|F|Renaissance Hotels & Resorts|INTL|Europe|0011I00000cJUUPQA4|0011I00000cJUUPQA4||Open||
Renaissance WorldGate Hotel|FS||MCORK|a1W1I000000aUVrUAM|F|Renaissance Hotels & Resorts|NALO|East||||Deflagged||
Renaissance Leipzig Hotel|FS||LEJRN|a1W1I000000aUWgUAM|M|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
The Glasshouse, Autograph Collection®|FS|0011I00000cJVjqQAG|EDIAK|a1W1I000000aUWhUAM|F|Autograph Collection|INTL|Europe|0011I00000cJVjqQAG|0011I00000cJVjqQAG||Open||
Renaissance Solihull Hotel|FS||BHXSL|a1W1I000000aUWiUAM|M|Renaissance Hotels & Resorts|INTL|Europe||||Deflagged||
Courtyard by Marriott Caticlan|MSB||MPHCY|a1W1I000000aUXUUA2|M|Courtyard By Marriott|INTL|APEC||0011I00000cJVs8QAG||Pre-Opening||
MES I H S Texas|Other||EXTEX|a1W1I000000aUXVUA2|O|Marriott ExecuStay|NALO|West||||Deflagged||
Courtyard by Marriott Kassel|MSB||KSFCY|a1W1I000000aUXWUA2|M|Courtyard By Marriott|INTL|Europe||||Deflagged||
Key West On the Gulf|MSB||EYWCK|a1W1I000000aUXXUA2|F|Courtyard By Marriott|NALO|East||||Deflagged||
Courtyard by Marriott  Kunming|MSB||KNMCY|a1W1I000000aUXYUA2|M|Courtyard By Marriott|INTL|Greater China||||Deflagged||
The Barcelona EDITION|Luxury|0011I00000cJSKkQAO|BCNEB|a1W1I000000aUYYUA2|M|Edition|INTL|Europe||0011I00000cJVmoQAG||Open||
Marriott Saigon|FS||SGNDT|a1W1I000000aUYZUA2|M|Marriott Hotels & Resorts|INTL|APEC||||Deflagged||
The Ritz-Carlton Sydney|Luxury||SYDRZ|a1W1I000000aUYaUAM|M|The Ritz-Carlton|INTL|APEC||||Deflagged||
Fairfield Inn West Palm Beach|MSB||PBIFI|a1W1I000000aUYbUAM|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
The Ritz-Carlton Residences, Lake Tahoe|Luxury|0011I00000cJSGpQAO|RRLTN|a1W1I000000aUZvUAM|M|The Ritz-Carlton|NALO|West||0011I00000cJUNPQA4||Open||
The Residences at The Ritz-Carlton, Toronto|Luxury|0011I00000cJSGpQAO|RRCTO|a1W1I000000aUZwUAM|M|The Ritz-Carlton|NALO|Canada||0011I00000cJUMpQAO||Open||
Courtyard by Marriott Seoul Pangyo|MSB|0011I00000cJSKkQAO|SELPN|a1W1I000000aUZxUAM|M|Courtyard By Marriott|INTL|APEC||0011I00000cJTSGQA4||Open||
Beijing Marriott Hotel Northeast|FS|0011I00000cJSKkQAO|BJSES|a1W1I000000aUarUAE|M|Marriott Hotels & Resorts|INTL|Greater China||0011I00000cJUdFQAW||Open||
Daytona Beach|FS||DABFL|a1W1I000000aUasUAE|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Grand Rapids|FS||GRRMI|a1W1I000000aUatUAE|F|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Bangor|FS||BGRBM|a1W1I000000aUauUAE|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Worcester|FS||ORHDT|a1W1I000000aUavUAE|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Corpus Christi|FS||CRPDT|a1W1I000000aUawUAE|F|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Ramada Amsterdam City Centre South|Other||AMSOM|a1W1I000000aUbpUAE|F|Ramada Intl|INTL|Europe||||Deflagged||
Ramada Amsterdam Leidse Square|Other||AMSTE|a1W1I000000aUbqUAE||Ramada Intl|INTL|Europe||||Deflagged||
Marriott's Village d'lle-de-France|Other|0011I00000cJSLcQAO|PARDP|a1W1I000000aUbrUAE|F|Marriott Vacation Club Intl|INTL|Europe|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Renaissance Malta Victoria Hotel|FS|0011I00000cJSKkQAO|GZMBR|a1W1I000000aUbsUAE|M|Renaissance Hotels & Resorts|INTL|Europe||0011I00000cJSbpQAG||Cancelled||
Sheraton Manila Bay|FS|0011I00000cJSKkQAO|MNLSB|a1W1I000000aUbtUAE|M|Sheraton Hotels|INTL|APEC||0011I00000cJSgGQAW||Open||
Courtyard by Marriott Doha City Center|MSB||DOHCY|a1W1I000000aUcjUAE|M|Courtyard By Marriott|INTL|ME||0011I00000cJSh6QAG||Deflagged||
Marriott Executive Apartment Doha City Center|Other||DOHER|a1W1I000000aUckUAE|M|Marriott Executive Apartments|INTL|ME||||Deflagged||
MI LA New Orleans Maison Blanche, Boutique Hotel USA|Other|||a1W1I000000aUclUAE|M|Independent|NALO|East||0011I00000cJSGdQAO||Cancelled||
MI LA New Orleans Maison Blanche, Suites Hotel USA|Other|||a1W1I000000aUcmUAE|M|Independent|NALO|East||0011I00000cJSGdQAO||Cancelled||
MES Little Rock|Other||-|a1W1I000000aUdpUAE|F|Marriott ExecuStay|NALO|East||||Deflagged||
The Ritz-Carlton, Hong Kong|Luxury|0011I00000cJSGpQAO|HKGKW|a1W1I000000aUdqUAE|M|The Ritz-Carlton|INTL|Greater China||0011I00000cJU4PQAW||Open||
Courtyard by Marriott Paris La Defense West - Colombes|MSB|0011I00001IAjRYQA1|PARCF|a1W1I000000aUdrUAE|F|Courtyard By Marriott|INTL|Europe|0011I00001IAjRYQA1|0011I00000cJTbnQAG||Open||
CY  Budapest Downtown Hungary|MSB|||a1W1I000000aUdsUAE|M|Courtyard By Marriott|INTL|Europe||0011I00000cJScgQAG||Cancelled||
MES Tidewater|Other||-|a1W1I000000aUesUAE|F|Marriott ExecuStay|NALO|East||||Deflagged||
MES Western VA|Other||-|a1W1I000000aUetUAE|F|Marriott ExecuStay|NALO|East||||Deflagged||
TPS RI Providence West Warwick USA|MSB|0011I00000cJSLdQAO|.|a1W1I000000aUeuUAE|F|TownePlace Suites By Marriott|NALO|East||0011I00000cJSLdQAO||Cancelled||
Courtyard by Marriott Kaifeng West|MSB||CGOKW|a1W1I000000aUevUAE|M|Courtyard By Marriott|INTL|Greater China||0011I00000cJTafQAG||Pre-Opening||
Marrakech Marriott Hotel|FS|0011I00000cJSKkQAO|RAKMC|a1W1I000000aUewUAE|M|Marriott Hotels & Resorts|INTL|AFIO||0011I00000cJUeTQAW||Pre-Opening||
Renaissance Amsterdam Schiphol Airport Hotel|FS|0011I00000cJTUXQA4|AMSRA|a1W1I000000aUoPUAU|F|Renaissance Hotels & Resorts|INTL|Europe|0011I00000cJTUXQA4|0011I00000cJTsEQAW||Open||
Marriott Kampala City Center Uganda|FS||EBBMC|a1W1I000000aUoQUAU|M|Marriott Hotels & Resorts|INTL|AFIO||0011I00000cJTi7QAG||Cancelled||
MOXY Prague Mozartova Street Czech Republic|MSB|||a1W1I000000aUoRUAU|F|MOXY Hotels|INTL|Europe||0011I00000cJVVTQA4||Cancelled||
Courtyard by Marriott Ciudad Juarez|MSB|0011I00000cJVtPQAW|CJSCY|a1W1I000000aUoSUAU|F|Courtyard By Marriott|INTL|CALA|0011I00000cJVtPQAW|0011I00000cJVtPQAW||Open||
Hotel Fuerstenhof, Leipzig|Luxury|0011I00000cJUGAQA4|LEJLC|a1W1I000000aUpFUAU|M|The Luxury Collection|INTL|Europe||0011I00000cJTiAQAW||Deflagged||
Le Méridien Dhaka|FS|0011I00000cJTjcQAG|DACMD|a1W1I000000aUpGUAU|M|Le Méridien|INTL|APEC||0011I00000cJTmfQAG||Open||
Le Méridien Thimphu|FS|0011I00000cJTjcQAG|PBHMD|a1W1I000000aUpHUAU|M|Le Méridien|INTL|APEC||0011I00000cJVW1QAO||Open||
ITC Kakatiya, a Luxury Collection Hotel, Hyderabad|Luxury|0011I00000cJUCrQAO|HYDLC|a1W1I000000aUpwUAE|F|The Luxury Collection|INTL|APEC|0011I00000cJUCrQAO|0011I00000cJUCrQAO||Open||
ITC Grand Chola, a Luxury Collection Hotel, Chennai|Luxury|0011I00000cJUCrQAO|MAALC|a1W1I000000aUpxUAE|F|The Luxury Collection|INTL|APEC|0011I00000cJUCrQAO|0011I00000cJUCrQAO||Open||
The St. Regis Sanya Yalong Bay Resort|Luxury|0011I00000cJTjcQAG|SYXXR|a1W1I000000aUqZUAU|M|St. Regis Hotels|INTL|Greater China||0011I00001GSvs8QAD||Open||
W Beijing - Chang'an|Luxury|0011I00000cJTjcQAG|BJSWH|a1W1I000000aUqaUAE|M|W Hotels|INTL|Greater China||0011I00000cJVeCQAW||Deflagged||
The Westin Qingdao|FS|0011I00000cJSKkQAO|TAOWI|a1W1I000000aUqbUAE|M|Westin Hotels|INTL|Greater China||0011I00000cJTrZQAW||Open||
Le Méridien Shimei Bay Beach Resort & Spa|FS|0011I00000cJTjcQAG|SYXMD|a1W1I000000aUqcUAE|M|Le Méridien|INTL|Greater China||0011I00000cJTznQAG||Open||
The Westin Lagunamar Ocean Resort Villas & Spa, Cancun|Other|0011I00000cJVa7QAG|CUNLI|a1W1I000000aUrDUAU|F|Vistana|INTL|CALA|0011I00000cJVa7QAG|0011I00000cJVa7QAG||Open||
The Westin Kierland Villas|Other|0011I00000cJVa7QAG|PHXKW|a1W1I000000aUrEUAU|F|Vistana|NALO|West|0011I00000cJVa7QAG|0011I00000cJVa7QAG||Open||
Courtyard by Marriott Vienna Prater/Messe|MSB|0011I00000cJUUPQA4|VIEFG|a1W1I000000aUfxUAE|F|Courtyard By Marriott|INTL|Europe|0011I00000cJUUPQA4|0011I00000cJUUTQA4||Open||
Durban Marriott Hotel|FS|0011I00000cJSKkQAO|DURMC|a1W1I000000aUfyUAE|M|Marriott Hotels & Resorts|INTL|AFIO||0011I00000cJSkgQAG||Cancelled||
MHR Madrid Canalejas Spain|Luxury|||a1W1I000000aUfzUAE|M|JW Marriott Hotels and Resorts|INTL|Europe||||Cancelled||
Renaissance Dubai Motorcity|FS|0011I00000cJSKkQAO|DXBMR|a1W1I000000aUg0UAE|M|Renaissance Hotels & Resorts|INTL|ME||0011I00000cJU52QAG||Cancelled||
The Ritz-Carlton, Atlanta Midtown|Luxury|0011I00000cJSGpQAO|.|a1W1I000000aUg1UAE|M|The Ritz-Carlton|NALO|East||0011I00000cJSbCQAW||Cancelled||
Courtyard by Marriott Basel|MSB|0011I00000cJULUQA4|BSLCY|a1W1I000000aUgnUAE|F|Courtyard By Marriott|INTL|Europe|0011I00000cJULUQA4|0011I00000cJULUQA4||Open||
The Ritz-Carlton, Almaty|Luxury|0011I00000cJSGpQAO||a1W1I000000aUgoUAE|M|The Ritz-Carlton|INTL|Europe||0011I00000cJUYrQAO||Cancelled||
Marriott Executive Apartments Mall of Arabia Jeddah|Other|0011I00000cJSKkQAO|JEDER|a1W1I000000aUgpUAE|M|Marriott Executive Apartments|INTL|ME||0011I00000cJStjQAG||Cancelled||
Courtyard by Marriott Mall of Arabia|MSB|0011I00000cJSKkQAO|JEDCY|a1W1I000000aUgqUAE|M|Courtyard By Marriott|INTL|ME||0011I00000cJStjQAG||Cancelled||
The Ritz-Carlton, Bintan Resort Indonesia|Luxury|0011I00000cJSGpQAO|.|a1W1I000000aUgrUAE|M|The Ritz-Carlton|INTL|APEC||0011I00000cJSiyQAG||Cancelled||
Grande Lakes Orlando, Lakeshore Reserve|Other|0011I00000cJSLcQAO|MCOLR|a1W1I000000aUi0UAE|F|Marriott Vacation Club Intl|NALO|East|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
JW Marriott Salboukh|Luxury|0011I00000cJSKkQAO|RUHJW|a1W1I000000aUi1UAE|M|JW Marriott Hotels and Resorts|INTL|ME||0011I00000cJStjQAG||Cancelled||
Courtyard by Marriott Cali|MSB|0011I00000cJSkOQAW||a1W1I000000aUi2UAE|F|Courtyard By Marriott|INTL|CALA||0011I00000cJSkOQAW||Cancelled||
Villas on Memorial|Other||TULVM|a1W1I000000aUi3UAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
Landings at Clear Lake|Other||HOULC|a1W1I000000aUi4UAE|F|Marriott ExecuStay|NALO|West||||Deflagged||
Laurel Valley|Other||DTWLA|a1W1I000000aUizUAE|M|Marriott ExecuStay|NALO|West||||Deflagged||
Carlyle Mill|Other||WASAV|a1W1I000000aUj0UAE|M|Marriott ExecuStay|NALO|East||||Deflagged||
MHR Puerto Ordaz . Venezuela|FS|||a1W1I000000aUj1UAE|F|Marriott Hotels & Resorts|INTL|CALA||||Cancelled||
Grand Residences by Marriott – Mayfair-London|Other|0011I00000cJSLcQAO|LONQL|a1W1I000000aUj2UAE|F|Marriott Vacation Club Intl|INTL|Europe|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
Bien Hoa Marriott|FS|||a1W1I000000aUj3UAE|M|Marriott Hotels & Resorts|INTL|APEC||0011I00000cJUfjQAG||Cancelled||
AMLI at Museum Gardens|Other||CHIMG|a1W1I000000aUj4UAE|M|Marriott ExecuStay|NALO|West||||Deflagged||
River's Edge|Other||ALBRE|a1W1I000000aUk6UAE|F|Marriott ExecuStay|NALO|East||||Deflagged||
Grace Park|Other||RDUGP|a1W1I000000aUk7UAE|F|Marriott ExecuStay|NALO|East||||Deflagged||
ACBM Bogota . Colombia|MSB|||a1W1I000000aUk8UAE|M|AC Hotels By Marriott|INTL|CALA||||Cancelled||
ACBM Montevideo . Uruguay|MSB|||a1W1I000000aUk9UAE|M|AC Hotels By Marriott|INTL|CALA||||Cancelled||
Library Lofts|Other||MCILL|a1W1I000000aUkAUAU|F|Marriott ExecuStay|NALO|West||||Deflagged||
Marriott Riyadh Diplomatic Quarter|FS|0011I00000cJSKkQAO|RUHDQ|a1W1I000000aUl0UAE|M|Marriott Hotels & Resorts|INTL|ME||0011I00000cJSvfQAG||Open||
Marriott Executive Apartments Riyadh Diplomatic Quarter|Other|0011I00000cJSKkQAO|RUHED|a1W1I000000aUl1UAE|M|Marriott Executive Apartments|INTL|ME||0011I00000cJSvfQAG||Open||
Marriott Vacation Club Pulse, San Diego|Other|0011I00000cJSLcQAO|SANVA|a1W1I000000aUl2UAE|F|Marriott Vacation Club Intl|NALO|West|0011I00000cJSLcQAO|0011I00000cJSLcQAO||Open||
RH Panama Allbrook Panama|FS|||a1W1I000000aUl3UAE|F|Renaissance Hotels & Resorts|INTL|CALA||||Cancelled||
Fairfield Inn & Suites Lufkin|MSB|0011I00000cJScgQAG||a1W1I000000aUm0UAE|F|Fairfield Inn & Suites|NALO|West|0011I00000cJUUUQA4|0011I00000cJUUUQA4||Pre-Opening||
Marriott Huludao|FS||JNZHU|a1W1I000000aUm1UAE|M|Marriott Hotels & Resorts|INTL|Greater China||0011I00000cJV0gQAG||Pre-Opening||
AUTO Bogota La Cabrera Colombia|FS|||a1W1I000000aUm2UAE|F|Autograph Collection|INTL|CALA||||Cancelled||
The St. Regis Aruba Palm Beach|Luxury||AUAXR|a1W1I000000aUm3UAE|M|St. Regis Hotels|INTL|CALA||0011I00000cJUTIQA4||Pre-Opening||
Renaissance Zhengzhou Xintian|FS||CGOBR|a1W1I000000aUm4UAE|M|Renaissance Hotels & Resorts|INTL|Greater China||0011I00000cJTO2QAO||Cancelled||
The Ritz-Carlton Reserve Residences Morgan's Point|Luxury|0011I00000cJSGpQAO|BDARR|a1W1I000000aUmcUAE|M|The Ritz-Carlton|INTL|CALA||0011I00000cJVNUQA4||Pre-Opening||
Fairfield Inn & Suites Aguascalientes|MSB|0011I00000cJSYAQA4|AGUFI|a1W1I000000aUmdUAE|F|Fairfield Inn & Suites|INTL|CALA|0011I00001F8I77QAF|0011I00001F8I77QAF||Open||
Le Méridien Cam Ranh Bay Resort & Spa|FS|0011I00000cJTjcQAG|CXRMD|a1W1I000000aUmeUAE|M|Le Méridien|INTL|APEC||0011I00000cJVrAQAW||Pre-Opening||
The Ritz-Carlton Montenegro|Luxury|0011I00000tT8JHQA0|TIVRZ|a1W1I000000aUnLUAU|M|The Ritz-Carlton|INTL|Europe||0011I00000cJTl9QAG||Pre-Opening||
Courtyard by Marriott Culiacan Sinaloa|MSB||CULCY|a1W1I000000aUnMUAU|F|Courtyard By Marriott|INTL|CALA||0011I00000cJVRAQA4||Pre-Opening||
Fairfield Inn & Suites Tijuana|MSB|0011I00000cJSKkQAO|TIJFI|a1W1I000000aUnNUAU|M|Fairfield Inn & Suites|INTL|CALA||0011I00000cJTePQAW||Open||
Courtyard by Marriott Dar es Salaam|MSB|||a1W1I000000aUo6UAE|M|Courtyard By Marriott|INTL|AFIO||0011I00000cJTjUQAW||Cancelled||
Cappadocia Marriott Turkey|FS|0011I00000cJViLQAW|NAVMC|a1W1I000000aUo7UAE|F|Marriott Hotels & Resorts|INTL|Europe|0011I00000cJViLQAW|0011I00000cJViLQAW||Pre-Opening||
Autograph Collection Hotel in Shanghai|FS||SHAAK|a1W1I000000aUo8UAE|M|Autograph Collection|INTL|Greater China||0011I00000cJTL1QAO||Cancelled||
AC Hotel Kingston, Jamaica|MSB|0011I00000cJTkTQAW|KINAR|a1W1I000000aUo9UAE|F|AC Hotels By Marriott|INTL|CALA|0011I00000cJTkTQAW|0011I00000cJTkTQAW||Open||
Aloft San Juan|MSB|0011I00000cJSKkQAO|SJUAL|a1W1I000000aUoTUAU|M|Aloft Hotels|INTL|CALA||0011I00000cJU67QAG||Open||
Residence Inn by Marriott London Bridge|MSB|0011I00001LM7gDQAT|LONRI|a1W1I000000aUoUUAU|F|Residence Inn By Marriott|INTL|Europe|0011I00000cJTwDQAW|0011I00000cJSzZQAW||Open||
The Westin Chennai Velachery|FS|0011I00000cJTjcQAG|MAAVW|a1W1I000000aUpIUAU|M|Westin Hotels|INTL|APEC||0011I00000cJVWEQA4||Open||
Le Méridien Kochi|FS|0011I00000cJTjcQAG|COKMD|a1W1I000000aUpJUAU|M|Le Méridien|INTL|APEC||0011I00000cJVWEQA4||Open||
Sheraton Mendoza Hotel|FS|0011I00000cJTlFQAW|MDZSI|a1W1I000000aUpyUAE|F|Sheraton Hotels|INTL|CALA|0011I00000cJTlFQAW|0011I00000cJTlFQAW||Open||
Aloft Zhengzhou Shangjie|MSB|0011I00000cJTjcQAG|CGOSL|a1W1I000000aUpzUAE|M|Aloft Hotels|INTL|Greater China||0011I00000cJVqgQAG||Open||
Sheraton Poznan Hotel|FS|0011I00000cJUGAQA4|POZSI|a1W1I000000aUq0UAE|M|Sheraton Hotels|INTL|Europe||0011I00000cJTlIQAW||Open||
Sheraton Sanya Haitang Bay Resort|FS|0011I00000cJSKkQAO|SYXHS|a1W1I000000aUqdUAE|M|Sheraton Hotels|INTL|Greater China||0011I00000cJTy0QAG||Open||
The Royal Begonia, a Luxury Collection Resort, Sanya|Luxury|0011I00000cJSKkQAO|SYXLC|a1W1I000000aUqeUAE|M|The Luxury Collection|INTL|Greater China||0011I00000cJTnKQAW||Deflagged||
Le Méridien Bora Bora|FS|0011I00000cJTjcQAG|BOBMD|a1W1I000000aUqfUAE|M|Le Méridien|NALO|West||0011I00000cJSuZQAW||Open||
Sheraton Buganvilias Resort & Convention Center|FS|0011I00000cJTpAQAW|PVRSI|a1W1I000000aUrIUAU|F|Sheraton Hotels|INTL|CALA|0011I00000cJTpAQAW|0011I00000cJTpAQAW||Open||
The St. Regis Rome|Luxury|0011I00000cJUGAQA4|ROMXR|a1W1I000000aUrJUAU|M|St. Regis Hotels|INTL|Europe||0011I00000cJVquQAG||Open||
Courtyard by Marriott Hong Kong|MSB|0011I00000cJSKkQAO|HKGCY|a1W1I000000aUg2UAE|M|Courtyard By Marriott|INTL|Greater China||0011I00000cJUTWQA4||Open||
Courtyard by Marriott Pune City Centre|MSB||PNQCY|a1W1I000000aUg3UAE|M|Courtyard By Marriott|INTL|APEC||||Deflagged||
The Ritz-Carlton Jakarta, Pacific Place|Luxury|0011I00000cJSGpQAO|JKTRT|a1W1I000000aUgsUAE|M|The Ritz-Carlton|INTL|APEC||0011I00000cJUTTQA4||Open||
The Ritz-Carlton Shanghai, Pudong|Luxury|0011I00000cJSGpQAO|SHASZ|a1W1I000000aUgtUAE|M|The Ritz-Carlton|INTL|Greater China||0011I00000cJU4PQAW||Open||
MEA Macau Gold Core Property China|Other|||a1W1I000000aUguUAE|M|Marriott Executive Apartments|INTL|Greater China||||Cancelled||
Newseum Residences at Penn Ave|Other||WASNR|a1W1I000000aUgvUAE|O|Marriott ExecuStay|NALO|East||||Deflagged||
